open,high,low,close,volume,marketCap,timestamp
0.00004732988563,0.0000486884003,0.00004364494055,0.00004421659596,3482541861.27,24277197069.26,"2021-12-01T23:59:59.999Z"
0.0000441655668,0.00004421398688,0.00004128557256,0.00004215477523,2042872233.2,23143586067.01,"2021-12-02T23:59:59.999Z"
0.00004220149038,0.0000447941557,0.0000395940104,0.00004040885997,2740977675.6,22185182615.94,"2021-12-03T23:59:59.999Z"
0.00003641608185,0.00003814335761,0.00003441312703,0.00003622364645,2307804650.09,19887113761.12,"2021-12-05T23:59:59.999Z"
0.00003618980702,0.0000375716575,0.00003283458404,0.00003693202487,2321209664.62,20275974410.83,"2021-12-06T23:59:59.999Z"
0.00003684933793,0.00003876001031,0.00003583483737,0.00003630578679,1844522891.34,19932162269.97,"2021-12-07T23:59:59.999Z"
0.00003693263282,0.0000372964094,0.00003422742583,0.00003472280245,1123882102.97,19064824391.65,"2021-12-09T23:59:59.999Z"
0.00003472657155,0.00003611469959,0.00003340803588,0.00003356719466,1033903140,18430328959.41,"2021-12-10T23:59:59.999Z"
0.00003664502274,0.00003682104012,0.00003179507924,0.00003293433508,1464806802.05,18082852489.75,"2021-12-13T23:59:59.999Z"
0.00003294010377,0.00003561350171,0.00003251260607,0.0000340026498,1476971270.45,18669418988.3,"2021-12-14T23:59:59.999Z"
0.00003399008791,0.00003434272277,0.00003214884721,0.0000338577576,1184733847.78,18589864799.1,"2021-12-15T23:59:59.999Z"
0.00003271431335,0.00003313009176,0.0000302969891,0.00003121835465,1162002332.9,17140694754.84,"2021-12-17T23:59:59.999Z"
0.00003121638371,0.00003216781117,0.0000308226541,0.00003142815377,709723245.43,17255843111.05,"2021-12-18T23:59:59.999Z"
0.00003141483189,0.00003188206338,0.00003067548512,0.00003079113177,614447517.2,16906095915.6,"2021-12-19T23:59:59.999Z"
0.00003122837714,0.00003334964098,0.00003100660653,0.00003290858659,1375249878.34,18068777573.03,"2021-12-21T23:59:59.999Z"
0.00003289447724,0.00003765492202,0.00003257361068,0.00003505081468,2281163530.03,19245115958.13,"2021-12-22T23:59:59.999Z"
0.0000350587779,0.00003889723887,0.0000344913969,0.00003858844798,2040585377.66,21187499773.67,"2021-12-23T23:59:59.999Z"
0.00003625648379,0.0000383256038,0.00003604708569,0.00003770803083,1127932936.33,20704095047.59,"2021-12-25T23:59:59.999Z"
0.00003773160035,0.00003878678633,0.0000367076685,0.00003831300758,1212604990.64,21036265565.3,"2021-12-26T23:59:59.999Z"
0.00003828018772,0.00003944635706,0.00003776991049,0.00003896794295,1265319186.62,21395866527.15,"2021-12-27T23:59:59.999Z"
0.00003494859422,0.00003623335135,0.00003319567089,0.00003362573905,1210252539.97,18462658538.31,"2021-12-29T23:59:59.999Z"
0.00003367416731,0.00003435548724,0.00003297360864,0.0000337834995,989363048.74,18549279007.17,"2021-12-30T23:59:59.999Z"
0.00003342276341,0.0000341471858,0.0000334143004,0.00003413548185,608789557.78,18742539593.12,"2022-01-01T23:59:59.999Z"
0.00003413494871,0.00003441342502,0.00003354810814,0.00003404389524,574109133.67,18692252748.3,"2022-01-02T23:59:59.999Z"
0.00003404337533,0.00003407150696,0.0000323812573,0.00003308980725,720676202.36,18168398066.27,"2022-01-03T23:59:59.999Z"
0.00003247440741,0.00003294151822,0.0000290275875,0.00003045664302,1138566779.34,16722624278.55,"2022-01-05T23:59:59.999Z"
0.00003044407532,0.00003164712771,0.00002936745135,0.00003075684554,1172523092.07,16887454458.53,"2022-01-06T23:59:59.999Z"
0.00003075345888,0.00003082463007,0.00002872730385,0.00002901497617,1169467774.5,15931057953.36,"2022-01-07T23:59:59.999Z"
0.0000277858307,0.00002905165579,0.00002761657818,0.00002832735747,741130328.48,15553511774.42,"2022-01-09T23:59:59.999Z"
0.00002832663695,0.00002868824236,0.00002566629678,0.00002678181652,1044022666.75,14704911995.42,"2022-01-10T23:59:59.999Z"
0.00002677647734,0.00002817881707,0.00002645143254,0.00002769686837,856528185.02,15207333361.14,"2022-01-11T23:59:59.999Z"
0.00003169537726,0.00003254747157,0.00002930989947,0.00002963933521,1435576623.75,16273870573.39,"2022-01-13T23:59:59.999Z"
0.00002964704362,0.00003247103078,0.00002942252027,0.00003084976084,1538750911.25,16938470838.66,"2022-01-14T23:59:59.999Z"
0.00003085218039,0.00003145738488,0.00003067027991,0.0000308825751,697319385.25,16956487945.19,"2022-01-15T23:59:59.999Z"
0.00003052220104,0.00003056671656,0.00002840628227,0.00002881811763,758868918.22,15822970156.85,"2022-01-17T23:59:59.999Z"
0.00002881791274,0.00002944760118,0.00002753928438,0.00002813331476,817784966.04,15446970049.8,"2022-01-18T23:59:59.999Z"
0.00002733595335,0.00002871222654,0.00002642776823,0.00002643516618,380410745.68,14514579019.84,"2022-01-20T23:59:59.999Z"
0.0000264451512,0.00002676919257,0.00002196231019,0.00002222862075,1422249919.73,12204919394.7,"2022-01-21T23:59:59.999Z"
0.00002223664691,0.00002244112786,0.00001743828934,0.00002051155795,2140529992.55,11262143262.45,"2022-01-22T23:59:59.999Z"
0.00002244730636,0.00002286121556,0.00001883536101,0.00002120208725,1924476636.47,11641287546.39,"2022-01-24T23:59:59.999Z"
0.00002120221951,0.00002156937418,0.0000202770428,0.0000210676087,1047337942.05,11567450308.37,"2022-01-25T23:59:59.999Z"
0.00002105889785,0.00002337755782,0.00002058351589,0.00002116950055,1155008422.83,11623395386.56,"2022-01-26T23:59:59.999Z"
0.00002127165185,0.00002138521569,0.00002040976741,0.00002131494181,538455793.93,11703251838.29,"2022-01-28T23:59:59.999Z"
0.00002131467378,0.00002222291548,0.00002121451646,0.00002161709042,551033703.33,11869150547.75,"2022-01-29T23:59:59.999Z"
0.00002163148288,0.00002213229366,0.00002092810078,0.00002109326734,488342024.39,11581538525.33,"2022-01-30T23:59:59.999Z"
0.00002142724042,0.00002196599096,0.00002118046439,0.00002173678915,519254046.38,11934872724.89,"2022-02-01T23:59:59.999Z"
0.00002173351228,0.00002185303568,0.00002047314888,0.00002062827862,484518639.58,11326230298.33,"2022-02-02T23:59:59.999Z"
0.00002062470961,0.00002079034709,0.00002021173977,0.00002068656713,421850041.87,11358234375.19,"2022-02-03T23:59:59.999Z"
0.00002219139827,0.0000237798728,0.00002209210975,0.00002251497739,842566055.16,12362147306.91,"2022-02-05T23:59:59.999Z"
0.00002251918018,0.00002841251803,0.00002236910943,0.00002840513602,2156462842.14,15596217120.71,"2022-02-06T23:59:59.999Z"
0.00003257987618,0.00003489764515,0.00002952928341,0.00003107334071,3618590002.36,17061230337.39,"2022-02-08T23:59:59.999Z"
0.00003104020504,0.00003387131291,0.0000305862565,0.00003283835828,2365650707.86,18030336670.4,"2022-02-09T23:59:59.999Z"
0.00003285834457,0.00003359796343,0.00003068685492,0.00003083589301,2546459744.72,16930856525.11,"2022-02-10T23:59:59.999Z"
0.00002868260337,0.00002977758401,0.00002773531337,0.00002909161865,1683120663.56,15973139523.43,"2022-02-12T23:59:59.999Z"
0.00002908142793,0.00003203577303,0.00002854112257,0.00003027339658,2065365631.22,16622010390.22,"2022-02-13T23:59:59.999Z"
0.00003022885818,0.00003075184501,0.00002879165955,0.00002958238207,1558119657.18,16242599693.6,"2022-02-14T23:59:59.999Z"
0.00003124982657,0.00003144173325,0.00003010227742,0.00003092622607,1350071541.49,16980455090.56,"2022-02-16T23:59:59.999Z"
0.00003091966014,0.0000323184481,0.0000279017457,0.00002814572593,2067544525.52,15453784566.18,"2022-02-17T23:59:59.999Z"
0.00002816651264,0.00002989486947,0.00002792041847,0.00002814813522,1458694141.79,15455107416.73,"2022-02-18T23:59:59.999Z"
0.00002750512208,0.00002753667123,0.00002501978824,0.00002551208471,1235841144.02,14007748881.37,"2022-02-20T23:59:59.999Z"
0.00002551009843,0.00002745149439,0.00002405128186,0.00002407193724,2001180593.34,13217016787.54,"2022-02-21T23:59:59.999Z"
0.00002407680577,0.00002513093984,0.00002324814184,0.00002496189973,1524043646.63,13705662514.27,"2022-02-22T23:59:59.999Z"
0.00002498575455,0.00002507342923,0.0000208734434,0.00002386793369,3275038600.81,13105005934.27,"2022-02-24T23:59:59.999Z"
